ID,Scale_min,Scale_no,Question,Scale_min_label,Scale_max_label,Item,QuestOrder,Section,Question_no,Blurb
1,1,7,"Overall, how satisfied are you with Pasminco
as an organisation to work for?",Extremely Dissatisfied,Extremely Satisfied,P1S1Q3,3,Part I Ñ How Do You Feel About Your Job?,3,"We are interested in how you would rate your overall level of job satisfaction.  Please read each of the following statements and indicate how satisfied you are, by circling the appropriate number on the following scale:"
2,1,7,Feeling positive at work.,Not at all,All the time,P1S2Q1,4,Part I Ñ How Do You Feel About Your Job?,1,"We would now like you to indicate how often over the past MONTH, you have experienced the following feelings whilst at work, by circling the appropriate number on the following scale:"
3,1,7,Feeling enthusiastic at work.,Not at all,All the time,P1S2Q3,6,Part I Ñ How Do You Feel About Your Job?,3,"We would now like you to indicate how often over the past MONTH, you have experienced the following feelings whilst at work, by circling the appropriate number on the following scale:"
4,1,7,Feeling anxious at work.,Not at all,All the time,P1S2Q8,11,Part I Ñ How Do You Feel About Your Job?,8,"We would now like you to indicate how often over the past MONTH, you have experienced the following feelings whilst at work, by circling the appropriate number on the following scale:"
5,1,5,"I am encouraged in my work by praise, thanks or
	other recognition.",Strongly Disagree,Strongly Agree,P2S1Q6,23,Part II Ñ How Does Your Workplace Actually Operate?,6,Listed below are a number of statements that could be used to describe some aspects of your workplace.  Please read each statement carefully and indicate the extent to which you AGREE that the statement actually applies to your workplace by circling the appropriate number on the following scale:
6,1,5,"I have the opportunity to discuss and receive feedback on my
	work performance.",Strongly Disagree,Strongly Agree,P2S1Q12,29,Part II Ñ How Does Your Workplace Actually Operate?,12,Listed below are a number of statements that could be used to describe some aspects of your workplace.  Please read each statement carefully and indicate the extent to which you AGREE that the statement actually applies to your workplace by circling the appropriate number on the following scale:
7,1,7,"Overall, how useful do you think the results of this survey
will be to Pasminco?",Not at all enthusiastic,Extremely enthusiastic,P3S1Q3,32,Part III Ñ How Useful Do You Think This Survey Will Be?,3,"Finally, we would like to know your views about this survey.  Please answer each of the following questions by circling the appropriate number on the rating scale provided."
8,1,7,Feeling negative at work.,Not at all,All the time,P1S2Q10,13,Part I Ñ How Do You Feel About Your Job?,10,"We would now like you to indicate how often over the past MONTH, you have experienced the following feelings whilst at work, by circling the appropriate number on the following scale:"
9,1,7,"Overall, how satisfied are you with the work that you do?",Extremely Dissatisfied,Extremely Satisfied,P1S1Q2,2,Part I Ñ How Do You Feel About Your Job?,2,"We are interested in how you would rate your overall level of job satisfaction.  Please read each of the following statements and indicate how satisfied you are, by circling the appropriate number on the following scale:"
10,1,5,"There are forums in this workplace where I can express my
	views and opinions.",Strongly Disagree,Strongly Agree,P2S1Q8,25,Part II Ñ How Does Your Workplace Actually Operate?,8,Listed below are a number of statements that could be used to describe some aspects of your workplace.  Please read each statement carefully and indicate the extent to which you AGREE that the statement actually applies to your workplace by circling the appropriate number on the following scale:
11,1,7,Feeling energised at work.,Not at all,All the time,P1S2Q13,16,Part I Ñ How Do You Feel About Your Job?,13,"We would now like you to indicate how often over the past MONTH, you have experienced the following feelings whilst at work, by circling the appropriate number on the following scale:"
12,1,7,"Overall, how useful do you think the results of this survey
will be to your workplace?",Not at all enthusiastic,Extremely enthusiastic,P3S1Q2,31,Part III Ñ How Useful Do You Think This Survey Will Be?,2,"Finally, we would like to know your views about this survey.  Please answer each of the following questions by circling the appropriate number on the rating scale provided."
13,1,7,Feeling proud at work.,Not at all,All the time,P1S2Q5,8,Part I Ñ How Do You Feel About Your Job?,5,"We would now like you to indicate how often over the past MONTH, you have experienced the following feelings whilst at work, by circling the appropriate number on the following scale:"
14,1,5,There is a good team spirit in this workplace.,Strongly Disagree,Strongly Agree,P2S1Q7,24,Part II Ñ How Does Your Workplace Actually Operate?,7,Listed below are a number of statements that could be used to describe some aspects of your workplace.  Please read each statement carefully and indicate the extent to which you AGREE that the statement actually applies to your workplace by circling the appropriate number on the following scale:
15,1,7,"To what extent do you think the managers in your 
workplace will act on the results of this survey?",Not at all enthusiastic,Extremely enthusiastic,P3S1Q4,33,Part III Ñ How Useful Do You Think This Survey Will Be?,4,"Finally, we would like to know your views about this survey.  Please answer each of the following questions by circling the appropriate number on the rating scale provided."
